home,hgoal,agoal,hhgoal,ahgoal,FullSum,FullHWin,FullAWin,FullDC,FullBTS,FullExcGols0,FullExcGols1,FullExcGols2,FullExcGols3,FullExcGols4,FullExcGols5,FullOver0,FullOver1,FullOver2,FullOver3,FullOver4,FullOver5,FullOdd,FullEven,FullGolRang0-1,FullGolRang2-3,FullGolRang4-5,"FullMultiScor1,2,3:0","FullMultiScor0:1,2,3","FullMultiScor4,5,6:0","FullMultiScor0:4,5,6",FulltimeMultiGoals1-2,FulltimeMultiGoals1-3,FulltimeMultiGoals1-4,FulltimeMultiGoals1-5,FulltimeMultiGoals1-6,FulltimeMultiGoals2-3,FulltimeMultiGoals2-4,FulltimeMultiGoals2-5,FulltimeMultiGoals2-6,FulltimeMultiGoals3-4,FulltimeMultiGoals3-5,FulltimeMultiGoals3-6,FulltimeMultiGoals4-5,FulltimeMultiGoals4-6,FulltimeMultiGoals5-6,FulltimeMultiGoals7+,FulltimeGoalDiff,WinningMarginHomeBy1,WinningMarginHomeBy2,WinningMarginHomeBy3,WinningMarginAwayBy1,WinningMarginAwayBy2,WinningMarginAwayBy3,FulltimeHomeOverZ,FulltimeHomeOver1,FulltimeHomeOver2,FulltimeHomeOver3,FulltimeAwayOverZ,FulltimeAwayOver1,FulltimeAwayOver2,FulltimeAwayOver3,FirstHalfHomeOverZ,FirstHalfHomeOver1,FirstHalfHomeOver2,FirstHalfHomeOver3,FirstHalfAwayOverZ,FirstHalfAwayOver1,FirstHalfAwayOver2,FirstHalfAwayOver3,HomeMultiGoals1-2,HomeMultiGoals1-3,HomeMultiGoals2-3,HomeMultiGoals4+,AwayMultiGoals1-2,AwayMultiGoals1-3,AwayMultiGoals2-3,AwayMultiGoals4+,FulltimeCorrectScore0-0,FulltimeCorrectScore0-1,FulltimeCorrectScore0-2,FulltimeCorrectScore0-3,FulltimeCorrectScore0-4,FulltimeCorrectScore1-0,FulltimeCorrectScore1-1,FulltimeCorrectScore1-2,FulltimeCorrectScore1-3,FulltimeCorrectScore1-4,FulltimeCorrectScore2-0,FulltimeCorrectScore2-1,FulltimeCorrectScore2-2,FulltimeCorrectScore2-3,FulltimeCorrectScore2-4,FulltimeCorrectScore3-0,FulltimeCorrectScore3-1,FulltimeCorrectScore3-2,FulltimeCorrectScore3-3,FulltimeCorrectScore3-4,FulltimeCorrectScore4-0,FulltimeCorrectScore4-1,FulltimeCorrectScore4-2,FulltimeCorrectScore4-3,FulltimeCorrectScore4-4,FirstSum,FirstHWin,FirstAWin,FirstDraw,FirstBTS,FirstExcGols0,FirstExcGols1,FirstExcGols2,FirstOver0,FirstOver1,FirstOver2,FirstOdd,FirstEven,FirstGolRang0-1,FirstGolRang2-3,FirstHalfCorrectScore1-0,FirstHalfCorrectScore2-0,FirstHalfCorrectScore0-0,FirstHalfCorrectScore0-1,FirstHalfCorrectScore1-1,FirstHalfCorrectScore0-2,FirstHalfCorrectScore2-1,FirstHalfCorrectScore2-2,FirstHalfCorrectScore1-2,1stHalfMultigoals1-2,1stHalfMultigoals1-3,1stHalfMultigoals2-3,1stHalfMultigoals4+,SecHome,SecAway,Diff56_78,SecHWin,SecAWin,SecDraw,SecBTS,SecOdd,SecEven,SecondHalfCorrectScore1-0,SecondHalfCorrectScore2-0,SecondHalfCorrectScore0-0,SecondHalfCorrectScore0-1,SecondHalfCorrectScore1-1,SecondHalfCorrectScore0-2,SecondHalfCorrectScore2-1,SecondHalfCorrectScore2-2,SecondHalfCorrectScore1-2,2ndHalfMultigoals1-2,2ndHalfMultigoals1-3,2ndHalfMultigoals2-3,2ndHalfMultigoals4+,2ndHalfOverZ,2ndHalfOver1,2ndHalfOver2,2ndHalfExcatGoal0,2ndHalfExcatGoal1,2ndHalfExcatGoal2,2ndHalfHomeOverZ,2ndHalfHomeOver1,2ndHalfHomeOver2,2ndHalfAwayOverZ,2ndHalfAwayOver1,2ndHalfAwayOver2,FulltimeHandiHome0:1,FulltimeHandiAway0:1,FulltimeHandiDraw0:1,FulltimeHandiHome0:2,FulltimeHandiAway0:2,FulltimeHandiDraw0:2,FulltimeHandiHome0:3,FulltimeHandiAway0:3,FulltimeHandiDraw0:3,FulltimeHandiHome0:4,FulltimeHandiAway0:4,FulltimeHandiDraw0:4,FulltimeHandiHome0:5,FulltimeHandiAway0:5,FulltimeHandiDraw0:5,HomeWinEitherHalfYes,HomeWinEitherHalfNo,AwayWinEitherHalfYes,AwayWinEitherHalfNo,HomeHighestScoringHalve1st,HomeHighestScoringHalve2nd,HomeHighestScoringHalveEqual,AwayHighestScoringHalve1st,AwayHighestScoringHalve2nd,AwayHighestScoringHalveEqual,FulltimeHandiHome1:0,FulltimeHandiAway1:0,FulltimeHandiDraw1:0,FulltimeHandiHome2:0,FulltimeHandiAway2:0,FulltimeHandiDraw2:0,FulltimeHandiHome3:0,FulltimeHandiAway3:0,FulltimeHandiDraw3:0,FulltimeHandiHome4:0,FulltimeHandiAway4:0,FulltimeHandiDraw4:0,FulltimeHandiHome5:0,FulltimeHandiAway5:0,FulltimeHandiDraw5:0,FirstHalfHandiHome0:1,FirstHalfHandiAway0:1,FirstHalfHandiDraw0:1,FirstHalfHandiHome0:2,FirstHalfHandiAway0:2,FirstHalfHandiDraw0:2,FirstHalfHandiHome0:3,FirstHalfHandiAway0:3,FirstHalfHandiDraw0:3,FirstHalfHandiHome1:0,FirstHalfHandiAway1:0,FirstHalfHandiDraw1:0,FirstHalfHandiHome2:0,FirstHalfHandiAway2:0,FirstHalfHandiDraw2:0,FirstHalfHandiHome3:0,FirstHalfHandiAway3:0,FirstHalfHandiDraw3:0,SecHalfHandiHome0:1,SecHalfHandiAway0:1,SecHalfHandiDraw0:1,SecHalfHandiHome0:2,SecHalfHandiAway0:2,SecHalfHandiDraw0:2,SecHalfHandiHome1:0,SecHalfHandiAway1:0,SecHalfHandiDraw1:0,SecHalfHandiHome2:0,SecHalfHandiAway2:0,SecHalfHandiDraw2:0,SecHalfHandiHome3:0,SecHalfHandiAway3:0,SecHalfHandiDraw3:0,Full_HomeOrDraw,Full_AwayOrDraw,Full_HomeOrAway,1H_HomeOrDraw,1H_AwayOrDraw,1H_HomeOrAway,2H_HomeOrDraw,2H_AwayOrDraw,2H_HomeOrAway,Multigoal1st2ndfullDC
Augsburg,6,15,1,9,21,1,4,0,3,0,1,0,0,1,2,5,4,4,4,3,1,3,2,1,0,3,0,1,0,1,1,1,2,4,5,0,1,3,4,1,3,4,3,4,3,0,-9,0,1,0,2,0,1,3,2,1,0,5,3,3,2,1,0,0,0,4,3,1,1,2,3,2,0,2,3,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,10,1,4,0,0,0,2,2,5,3,1,2,3,2,2,1,0,0,1,0,2,0,0,0,4,4,2,1,5,6,11,2,2,1,3,3,2,0,0,1,0,0,1,2,0,1,1,4,4,0,4,4,3,1,0,4,3,2,0,4,2,0,1,4,0,0,4,1,0,5,0,0,5,0,0,5,0,2,3,4,1,0,3,2,3,1,1,1,4,2,3,4,0,3,5,1,4,5,0,4,5,0,0,4,1,0,5,0,0,5,0,1,4,1,2,5,2,4,5,0,0,3,2,0,5,0,3,3,1,4,5,1,5,5,0,1,4,5,1,4,5,3,3,4,3
B.Monchengladbach,4,13,0,7,17,0,3,2,1,2,0,0,1,1,0,3,3,3,2,1,1,1,4,2,1,1,0,1,0,1,0,1,2,2,2,1,2,2,2,2,2,2,1,1,0,1,-9,0,0,0,0,1,1,1,1,1,1,3,3,3,2,0,0,0,0,2,2,1,1,0,0,0,1,0,1,1,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,3,0,3,0,1,2,2,1,1,4,3,1,0,0,3,0,0,1,0,0,0,1,1,1,1,4,6,10,1,2,2,1,2,3,0,0,2,0,0,1,0,0,0,1,2,2,1,3,3,2,2,0,3,1,1,1,3,2,1,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,1,4,3,2,0,1,4,1,1,3,2,5,0,2,5,1,3,5,1,4,5,1,5,5,0,0,5,0,0,5,0,0,5,0,3,5,0,3,5,1,4,5,0,1,4,0,1,4,0,3,4,0,3,4,1,4,4,1,2,5,3,3,5,2,3,4,3,1
BayerLeverkusen,9,4,5,1,13,3,1,1,3,0,0,3,1,1,0,5,5,2,1,0,0,1,4,0,4,1,2,0,0,0,3,4,5,5,5,4,5,5,5,2,2,2,1,1,0,0,5,0,3,0,1,0,0,5,3,1,0,3,1,0,0,4,1,0,0,1,0,0,0,4,5,3,0,3,3,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,3,0,2,1,1,2,2,4,2,0,2,3,3,2,2,1,1,0,1,0,0,0,0,4,4,2,0,4,3,7,2,1,2,2,3,2,2,0,0,1,2,0,0,0,0,5,5,2,0,5,2,0,0,3,2,4,0,0,3,0,0,3,2,0,0,2,3,0,5,0,0,5,0,0,5,0,3,2,1,4,2,1,2,0,2,3,4,2,1,5,2,0,5,5,0,5,5,0,5,5,0,1,2,2,0,4,1,0,5,0,5,2,0,5,4,0,5,5,0,0,3,2,0,5,0,4,3,1,5,5,0,5,5,0,4,2,4,5,2,3,4,3,3,2
BayernMunich,20,1,13,0,21,5,0,0,1,0,0,0,2,1,1,5,5,5,3,2,1,3,2,0,2,2,1,0,3,0,0,2,3,4,5,2,3,4,5,3,4,5,2,3,2,0,19,1,0,1,0,0,0,5,5,4,3,1,0,0,0,5,4,3,1,0,0,0,0,1,2,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,13,5,0,0,0,0,1,1,5,4,3,3,2,1,3,1,1,0,0,0,0,0,0,0,2,4,3,1,7,1,8,3,0,2,1,2,3,1,1,1,0,1,0,0,0,0,3,4,3,0,4,3,1,1,1,3,4,2,1,1,0,0,4,0,1,4,1,0,3,1,1,2,2,1,1,3,1,5,0,0,5,2,0,3,0,1,4,5,0,0,5,1,0,5,1,0,5,2,0,5,3,0,4,0,1,3,1,1,1,2,2,5,0,0,5,1,0,5,2,0,2,2,1,1,3,1,5,2,0,5,3,0,5,4,0,5,0,5,5,0,5,5,2,3,3
Dortmund,6,1,3,1,7,3,0,1,1,0,2,1,1,0,0,4,2,1,0,0,0,3,1,2,2,0,3,0,0,0,3,4,4,4,4,2,2,2,2,1,1,1,0,0,0,0,5,2,0,1,0,0,0,4,1,1,0,1,0,0,0,3,0,0,0,1,0,0,0,3,4,1,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0,2,1,1,2,1,3,1,0,2,2,3,1,2,0,1,0,1,0,0,0,0,3,3,1,0,3,0,3,2,0,2,0,1,3,1,1,2,0,0,0,0,0,0,2,2,1,0,2,1,0,2,1,1,2,1,0,0,0,0,1,1,2,1,3,0,0,3,1,0,4,0,0,4,0,3,1,0,4,2,2,0,1,0,3,4,1,0,4,3,0,4,3,0,4,4,0,4,4,0,0,2,2,0,4,0,0,4,0,4,2,0,4,4,0,4,4,0,1,2,1,0,3,1,4,2,0,4,3,0,4,4,0,4,1,3,4,2,2,4,2,2,1
EintrachtFrankfurt,9,8,4,4,17,2,2,0,2,0,0,1,1,0,1,4,4,3,2,2,1,3,1,0,2,1,1,1,0,0,1,2,2,3,3,2,2,3,3,1,2,2,1,1,1,1,1,0,1,1,1,0,1,3,3,2,1,3,2,2,1,3,1,0,0,2,2,0,0,1,2,2,1,1,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,8,2,2,0,1,0,1,2,4,3,1,2,2,1,3,1,1,0,0,0,1,0,0,1,3,4,3,0,5,4,9,2,1,1,2,3,1,1,0,0,1,0,0,1,1,0,2,3,1,1,4,2,2,0,2,2,3,2,0,3,1,0,2,2,0,1,2,1,0,3,1,0,4,0,0,4,0,2,2,2,2,0,1,3,1,1,2,2,2,1,3,2,0,3,3,1,4,4,0,4,4,0,1,2,1,0,3,1,0,4,0,2,2,1,3,3,1,4,4,0,0,2,2,0,4,0,3,2,1,4,4,0,4,4,0,2,2,4,2,2,4,3,2,3,2
FCKoln,10,5,3,1,15,2,1,1,4,0,0,1,1,0,2,4,4,3,2,2,0,3,1,0,2,2,0,0,0,0,1,2,2,4,4,2,2,4,4,1,3,3,2,2,2,0,5,0,0,2,1,0,0,4,2,2,2,4,1,0,0,3,0,0,0,1,0,0,0,2,2,0,2,4,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,2,0,2,1,1,2,1,3,1,0,2,2,3,1,2,0,1,0,1,0,0,0,0,3,3,1,0,7,4,11,2,1,1,3,1,3,0,0,0,1,1,0,0,0,0,2,2,1,2,4,3,2,0,1,3,3,2,2,4,0,0,2,2,0,2,2,0,0,2,2,0,4,0,0,4,0,2,2,1,3,1,3,0,0,3,1,3,2,1,4,2,0,4,2,0,4,4,0,4,4,0,0,2,2,0,4,0,0,4,0,4,2,0,4,4,0,4,4,0,2,2,0,0,2,2,3,2,1,4,2,0,4,4,0,3,2,3,4,2,2,3,2,3,1
Freiburg,7,7,2,7,14,1,1,2,4,0,0,1,0,3,0,4,4,3,3,0,0,0,4,0,1,3,0,0,0,0,1,1,4,4,4,1,4,4,4,3,3,3,3,3,0,0,0,0,1,0,0,1,0,4,2,1,0,4,2,1,0,2,0,0,0,4,2,1,0,3,4,2,0,3,4,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,9,0,3,1,2,0,1,1,4,3,2,3,1,1,3,0,0,0,1,1,0,0,0,1,2,4,3,0,5,0,5,3,0,1,0,3,1,2,0,1,0,0,0,0,0,0,2,3,1,0,3,1,1,1,2,1,3,1,1,0,0,0,1,3,0,0,3,1,0,4,0,0,4,0,0,4,0,3,1,3,1,1,2,1,4,0,0,3,3,0,3,3,1,4,4,0,4,4,0,4,4,0,0,4,0,0,4,0,0,4,0,1,4,2,3,4,0,3,4,1,1,1,2,1,3,0,4,1,0,4,3,0,4,3,0,3,3,2,1,4,3,4,1,3,3
HamburgerSV,6,4,3,2,10,2,2,0,1,0,1,1,1,1,0,4,3,2,1,0,0,2,2,1,2,1,0,2,1,0,2,3,4,4,4,2,3,3,3,2,2,2,1,1,0,0,2,1,0,0,1,1,0,2,2,1,1,3,1,0,0,2,1,0,0,2,0,0,0,1,1,1,1,3,3,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,2,0,0,0,3,1,4,1,0,3,1,3,1,1,1,0,2,0,0,0,0,0,4,4,1,0,3,2,5,1,1,2,1,1,3,0,1,1,1,1,0,0,0,0,3,3,2,0,3,2,0,1,1,2,2,1,0,2,0,0,1,2,1,1,3,0,1,3,0,0,3,1,0,4,0,2,2,2,2,0,0,4,1,1,2,2,2,1,3,3,1,4,3,0,4,3,0,4,4,0,1,2,1,0,3,1,0,4,0,2,2,2,4,3,0,4,4,0,1,3,0,0,3,1,3,3,1,4,3,0,4,4,0,2,2,4,2,2,4,3,3,2,2
Heidenheim,6,9,2,3,15,1,2,2,4,0,0,2,1,2,0,5,5,3,2,0,0,1,4,0,3,2,0,1,0,0,2,3,5,5,5,3,5,5,5,3,3,3,2,2,0,0,-3,1,0,0,0,2,0,4,2,0,0,5,3,1,0,2,0,0,0,2,1,0,0,4,4,2,0,4,5,3,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,3,1,2,1,2,3,2,0,1,4,3,2,1,0,2,0,1,1,0,0,0,3,3,2,0,4,6,10,1,2,2,2,2,3,0,0,1,1,0,1,1,1,0,2,3,2,1,4,3,2,1,1,3,2,2,0,4,2,0,0,4,1,0,5,0,0,5,0,0,5,0,0,5,0,2,3,3,2,2,2,1,1,4,0,3,4,0,3,5,2,5,5,0,5,5,0,5,5,0,0,4,1,0,5,0,0,5,0,4,4,0,4,5,1,5,5,0,0,4,1,0,5,0,3,4,1,4,5,1,5,5,0,3,4,3,4,4,2,3,4,3,1
